trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,5,-90.79936999381901,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-97.9738181538091,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-112.55791753479234,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-129.06793740867212,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-20.709316854589723,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-128.08524598759453,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-169.30372240420445,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,8,-68.47253815947974,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,8,-59.079455744733075,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-79.38976752294685,"{0: 21, 1: 2, 2: 4, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-124.6306427257105,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-173.45877752546133,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,12,-18.15885425949293,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-112.25892125083796,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,10,-45.1090521378543,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,8,-30.876949950686814,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,18,-15.217753837387097,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,22,-28.439233662416644,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-31.22519221275781,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,-31.87013685365713,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-87.40056328392411,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-10.069327475904538,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-27.09680290727377,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,6,-60.038017819824454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,13,12.923630406985644,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,0.35883869835763915,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,5,-27.233788062361725,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,3,-15.09026993541718,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,7.2361885257066145,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,11,19.43410399359578,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
