trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-158.2888132969101,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-172.4977609853504,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-251.27505053572057,"{0: 9, 1: 6, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,5,-71.33683948888235,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 0}",1
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-152.8573115656303,"{0: 8, 1: 0, 2: 10, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-55.58691049818554,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-99.1922624477583,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-106.54632596782875,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-135.09220753434082,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-144.43795143835703,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-118.21619729750381,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-77.49708675955998,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,1,-97.0630658275937,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-101.29911978914832,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,5,-73.12217035255802,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-55.46343649726208,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-153.83748178302145,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-136.28145411016044,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-69.5566506105893,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-124.69175018413594,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-184.2032273805137,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-126.55339131233167,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-80.95371657694831,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-176.49357894943736,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-44.0889322310256,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,10,-105.28653807892412,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-109.89785004210636,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-90.10719975550062,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-150.7031865467813,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-118.12437717451078,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-169.47721647356036,"{0: 12, 1: 3, 2: 5, 3: 4, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,0,-172.29966837019577,"{0: 18, 1: 4, 2: 3, 3: 3, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-96.22146291520593,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-52.92543971411249,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-42.69155274274227,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-105.00066901305719,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,12,-109.2968855955081,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 2}",1
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,15,-0.10101672059114586,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-271.1235885371139,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 5}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-105.47725711927148,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-74.97660157852967,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-63.688813379374864,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-87.22900725915767,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-128.05778163945166,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-116.70038698910639,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-27.043918872732277,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",30,0,-57.3338764507021,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-120.19594981649111,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-101.95122412687994,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,10,-27.65843039274321,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-248.53057303647182,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 5}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",30,0,-149.59921348666992,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-110.82075479440773,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-125.90791357397063,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-152.75063106913973,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-96.82746849679705,"{0: 10, 1: 4, 2: 3, 3: 3, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-194.52081889829327,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,1,-51.44766275435021,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-157.28559856471517,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",30,19,-14.349674926391048,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-87.07665933290242,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,0,-116.85816696133045,"{0: 20, 1: 4, 2: 2, 3: 3, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-37.66369116500618,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,20,-7.381766050236108,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",35,0,-157.8900165414209,"{0: 26, 1: 0, 2: 6, 3: 0, 4: 3}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-173.56378984153082,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-160.0815264775077,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-132.855817325067,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-75.92646292801341,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-74.34869116255304,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,6,-67.09985048530078,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
